"","Mouse_ID","Tested_by","Machine","Measurements","Ct_mean","Ct_mean_Ep","Ct_mean_ABI","Oocyst_Predict","ILWE_DNA_Content_ng.microliter","ILWE_DNA_used_up","HI","Code","Transect","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","State","Arrival","Wean","Death","DaysInLab","Spleen","Lepid","Uterus","Ovaria","Grav","Litters","NN","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Zfy2","Y","Mix_Syphacia_Aspiculuris","Worms_presence","Heligmosomoides_polygurus","SRY1","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","n18S_Seq","COI_Seq","ORF470_Seq","eimeriaSpecies","Region","Sperm","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length"
"11","AA_0057","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"FALK8C","HZ_BR","M",13.3064,52.91,2016,"d","d","d","d",NA,"d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.0333333333,-9.2533333333,"negative","negative","negative","Negative",NA,NA,11.477,76,NA,16,NA,0.05,0.064,0.066,85
"12","AA_0058","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.9166666667,"HOHW3","HZ_BR","F",14.1158,52.8431,2016,NA,NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",12,"DE",NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.8166666667,-8.9033333333,"negative","negative","negative","Negative",NA,NA,22.044,100,NA,NA,2,NA,NA,NA,87
"13","AA_0059","YVT-Tes","Eppendorf + Quantstudio1",2,0,8.345,0,0,NA,NA,0.85,"HOHW3","HZ_BR","M",14.1158,52.8431,2016,"d","m","m","m","m","m","m","m","100","95","125","120","90/100","80/100","mm","mm","mm","mm","dm","dm",14,"DE",NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.89,-10.0066666667,"negative","negative","negative","Negative",NA,NA,17.826,88,NA,18,2,147,0.063,0.069,86
"14","AA_0060","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.84,"HOHW3","HZ_BR","F",14.1158,52.8431,2016,"d",NA,"mm","mm","mm","dm","mm","mm","94","95","125","120","90","80","dd","mm","mm","mm","mm","mm",13,"DE",NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-9.34,-8.5633333333,"negative","negative","negative","Negative",NA,NA,26.264,94,NA,NA,2.5,NA,NA,NA,82
"15","AA_0061","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"SCHEN8h","HZ_BR","M",13.599425,52.273117,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,"DE",NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,0,NA,NA,NA,0,0,15,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-9.6,-8.8866666667,"negative","negative","negative","Negative",NA,NA,11.937,72,NA,8,2.5,NA,0.044,0.047,80
"16","AA_0062","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.04,"SCHEN8h","HZ_BR","F",13.599425,52.273117,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100/125","100","100","100","dd","dd","dm","dd","dd","dd",13,"DE",NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,0,44,NA,NA,0,NA,NA,NA,0,0,44,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.3666666667,-8.0066666667,"negative","negative","negative","Negative",NA,NA,17.289,87,NA,NA,2.5,NA,NA,NA,92
"17","AA_0063","YVT-Tes","Eppendorf + Quantstudio1",2,0,20.945,0,0,NA,NA,0.1,"WOLZ24","HZ_BR","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,"DE",NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,0,NA,NA,NA,0,0,5,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.7966666667,-7.97,"negative","negative","negative","Negative",NA,NA,9.764,65,NA,NA,2.5,NA,0.019,0.014,74
"18","AA_0064",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,"LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",13,"DE",NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,-11.11,-2.13,"positive","positive","positive","E_ferrisi",NA,NA,16.199,73,NA,NA,2.5,NA,NA,NA,88
"19","AA_0065","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"LIEB39","HZ_BR","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,"DE",NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Alice","April2018",1,0,0,0,1,0,0,0,0.25,0.1,10000,8,-9.0133333333,-2.2166666667,"positive","positive","positive","E_ferrisi",NA,NA,14,75,NA,6,2.5,8,0.021,0.024,81
"20","AA_0066",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,"LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","100","100","100","100","90/100","100","mm","dd","dd","dd","dm","dd",13,"DE",NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,-10.47,-2.58,"positive","positive","positive","E_ferrisi",NA,NA,19.447,87,NA,NA,2.5,NA,NA,NA,89
"21","AA_0067","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.1,"LIEB39","HZ_BR","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",14,"DE",NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,-8.52,-3.5933333333,"positive","positive","positive","E_ferrisi",NA,NA,18.73,79,NA,31,2.5,153,0.094,0.094,86
"22","AA_0068",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,"LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100/120","100","100","dd","dd","dd","dm","dd","dd",13,"DE",NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Alice","April2018",4,4,3,0,1,2,1,2,2.125,0.1,85000,8,-4.16,-1.15,"Tissue","Tissue","positive","E_ferrisi",NA,NA,16.799,83,NA,NA,2.5,NA,NA,NA,89
"23","AA_0069",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"LIEB39","HZ_BR","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,"DE",NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Alice","April2018",3,5,3,4,3,8,5,2,4.125,0.1,165000,8,-17.67,-3.84,"Tissue","Tissue","negative","E_falciformis",NA,NA,14.252,78,NA,3,2.5,5,0.017,0.018,87
"24","AA_0070",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,0,NA,NA,NA,0,0,9,0,0,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,-3.57,-3.94,"positive","positive","positive","E_ferrisi",NA,NA,13.956,72,NA,NA,2.5,NA,NA,NA,85
"25","AA_0071","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.04,"MARIEW","HZ_BR","F",13.6,52.8425,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100","100","100","dd","dm","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.7466666667,-7.7,"negative","negative","negative","Negative",NA,NA,13.654,78,NA,NA,2.5,NA,NA,NA,88
"26","AA_0072","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"MILD1","HZ_BR","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.16,-7.3366666667,"negative","negative","negative","Negative",NA,NA,15.107,75,NA,NA,2.5,NA,NA,NA,82
"27","AA_0073","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"MILD1","HZ_BR","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-9.0333333333,-7.1533333333,"negative","negative","negative","Negative",NA,NA,18.033,85,NA,NA,2.5,NA,NA,NA,79
"28","AA_0074","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"MILD1","HZ_BR","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,0,17,NA,NA,0,NA,NA,NA,0,0,17,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-10.9766666667,-10.63,"negative","negative","negative","Negative",NA,NA,19.747,86,NA,NA,2.5,NA,NA,NA,88
"29","AA_0075","YVT-Tes","Eppendorf + Quantstudio1",2,0,19.69,0,0,NA,NA,0,"MILD1","HZ_BR","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,0,NA,NA,NA,0,0,9,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-10.9066666667,-10.14,"negative","negative","negative","Negative",NA,NA,17.084,84,NA,NA,2.5,NA,NA,NA,81
"30","AA_0076","YVT","Eppendorf",1,32.6,32.6,NA,1109,NA,NA,0.05,"GRAB7","HZ_BR","M",13.7072,52.2422,2016,"d","m","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,NA,NA,NA,0,0,2,0,0,15,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-11.2866666667,-7.6033333333,"negative","negative","negative","Negative",NA,NA,21.853,86,NA,32,2.5,316,0.107,0.106,86
"31","AA_0077","YVT-Tes","Eppendorf + Quantstudio1",2,0,8.675,0,0,NA,NA,0,"AMTO4","HZ_BR","F",13.5883,52.2156,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-11.7466666667,-9.7933333333,"negative","negative","negative","Negative",NA,NA,25.724,92,NA,NA,2.5,NA,NA,NA,90
"32","AA_0078","YVT","Eppendorf",1,29.85,29.85,NA,7138,NA,NA,0,"AMTO4","HZ_BR","F",13.5883,52.2156,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,0,NA,NA,NA,0,0,26,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-11.3166666667,-10.6433333333,"negative","negative","negative","Negative",NA,NA,14.418,74,NA,NA,2.5,NA,NA,NA,73
"33","AA_0079","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.1,"WOLZ24","HZ_BR","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,"DE",NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,0,NA,NA,NA,0,0,3,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-11.0633333333,2.9,"negative","positive","positive","E_falciformis",NA,NA,14.533,75,NA,24,2.5,155,0.074,0.078,83
"34","AA_0080",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"WOLZ24","HZ_BR","F",13.84,52.2678,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,0,NA,NA,NA,0,0,3,0,0,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,4.75,0.420000000000002,"positive","positive","negative","Double",NA,NA,12.512,72,NA,NA,2.5,NA,NA,NA,80
"35","AA_0081","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.05,"WOLZ24","HZ_BR","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,"DE",NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-10.6933333333,-6.8133333333,"negative","negative","negative","Negative",NA,NA,18.354,86,NA,31,2.5,196,0.091,0.091,91
"36","AA_0082","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"WOLZ24","HZ_BR","F",13.84,52.2678,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,"DE",NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,0.1,5000,8,-10.59,-0.3533333333,"positive","positive","negative","E_falciformis",NA,NA,12.015,72,NA,NA,2.5,NA,NA,NA,81
"37","AA_0083","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.9130434783,"HOPPE1","HZ_BR","F",13.676085,52.497666,2016,"d",NA,"mm","mm",NA,"mm","mm","mm","100","95/100","125","120","90","80","mm","dm","mm","mm","mm","mm",12,"DE",NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,0,NA,NA,NA,0,0,4,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-10.9066666667,-8.2633333333,"negative","negative","negative","Negative",NA,NA,17.938,85,NA,NA,2.5,NA,NA,NA,79
"38","AA_0084","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.5,"HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d",NA,NA,NA,NA,"m","m","m","94","100","100/125","100/120","90/100","80","dd","dd","dm","dm","dm","mm",10,"DE",NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,0,NA,NA,NA,0,0,3,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-11.2866666667,-9.7366666667,"negative","negative","negative","Negative",NA,NA,20.04,82,NA,14,2.5,154,0.05,0.053,82
"39","AA_0085","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.8,"HOPPE1","HZ_BR","F",13.676085,52.497666,2016,"d",NA,"mm","mm","mm","mm","mm","mm","94/100","95/100","100","120","90","80","dm","dm","dd","mm","mm","mm",13,"DE",NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Alice","April2018",7,8,4,5,NA,5,6,14,7,0.1,280000,7,-11,-9.7166666667,"negative","negative","negative","Negative",NA,NA,28.266,91,NA,NA,2.5,NA,NA,NA,92
"40","AA_0086","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.1666666667,"HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d",NA,NA,"d",NA,"d","d","d","94","100","100","100","100","80","dd","dd","dd","dd","dd","mm",11,"DE",NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,0,NA,NA,NA,0,0,10,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-11.4333333333,-9.77,"negative","negative","negative","Negative",NA,NA,16.173,75,NA,36,2.5,108,0.063,0.065,93
"41","AA_0087","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.7826086957,"HOPPE1","HZ_BR","F",13.676085,52.497666,2016,"d",NA,"mm","mm",NA,"mm","mm","mm","94/100","95/100","100/125","120","90/100","80","dm","dm","dm","mm","dm","mm",12,"DE",NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Alice","April2018",2,1,10,3,1,3,1,2,2.875,0.1,63888.8888888889,8,-10.7333333333,-10.6266666667,"negative","negative","negative","Negative",NA,NA,15.419,81,NA,NA,4.5,NA,NA,NA,75
"42","AA_0088",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,"WOLZ24","HZ_BR","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","100","100","100","100","90/100","100","mm","dd","dd","dd","dm","dd",14,"DE",NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,0,19,NA,NA,0,NA,NA,NA,0,0,19,0,0,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,-5.42,-2.34,"positive","positive","positive","E_falciformis",NA,NA,12.439,73,NA,13,4,112,0.063,0.067,81
