# Experiment File Name : Plate7.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-06-18 10:59:25 AM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"F10","AA_0179","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F11","AA_0179","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F12","AA_0179","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G1","AA_0159","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G2","AA_0159","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G3","AA_0159","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G4","AA_0351","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G5","AA_0351","Unknown","0.72","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G6","AA_0351","Unknown","0.773","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G7","AA_0185","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G8","AA_0185","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G9","AA_0185","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"G10","AA_0689","Unknown","1.457","Amp","UNKNOWN","26.920","26.718","0.181","-","-","-","-","-","-","-","true","0.07","true","3.0","24.0","false","",
"G11","AA_0689","Unknown","1.458","Amp","UNKNOWN","26.570","26.718","0.181","-","-","-","-","-","-","-","true","0.07","true","3.0","21.0","false","",
"G12","AA_0689","Unknown","1.463","Amp","UNKNOWN","26.664","26.718","0.181","-","-","-","-","-","-","-","true","0.07","true","3.0","24.0","false","",
"H1","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H2","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H3","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H4","AA_0181","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"H5","AA_0181","Unknown","0.214","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"H6","AA_0181","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"H7","AA_0111","Unknown","0.0","No Amp","UNKNOWN","Undetermined","37.511","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"H8","AA_0111","Unknown","0.0","No Amp","UNKNOWN","Undetermined","37.511","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"H9","AA_0111","Unknown","0.873","No Amp","UNKNOWN","37.511","37.511","-","-","-","-","-","-","-","-","true","0.07","true","3.0","32.0","false","",
"H10","AA_0109","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"H11","AA_0109","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"H12","AA_0109","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",

