# Experiment File Name : Plate_5.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-05-27 04:43:54 PM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"B9","AA_0704 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B10","AA_0730 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B11","AA_0730 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B12","AA_0730 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C1","1.56x10_4 tyz","Standard Curve","1.43","Amp","STANDARD","28.581","28.655","0.17","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","22.0","false","",
"C2","1.56x10_4 tyz","Standard Curve","1.363","Amp","STANDARD","28.534","28.655","0.17","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","23.0","false","",
"C3","1.56x10_4 tyz","Standard Curve","1.425","Amp","STANDARD","28.849","28.655","0.17","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","24.0","false","",
"C4","AA_0830 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C5","AA_0830 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C6","AA_0830 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C7","AA_0707 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C8","AA_0707 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C9","AA_0707 R","Unknown","0.903","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","34.0","false","",
"C10","AA_0732 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C11","AA_0732 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"C12","AA_0732 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D1","1.95x10_3 tyz","Standard Curve","1.412","Amp","STANDARD","32.211","32.049","0.14","1953.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","28.0","false","",
"D2","1.95x10_3 tyz","Standard Curve","1.42","Amp","STANDARD","31.967","32.049","0.14","1953.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","26.0","false","",
"D3","1.95x10_3 tyz","Standard Curve","1.42","Amp","STANDARD","31.970","32.049","0.14","1953.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","27.0","false","",
"D4","AA_0683 R","Unknown","0.74","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","36.0","false","",
"D5","AA_0683 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D6","AA_0683 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D7","AA_0708 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D8","AA_0708 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D9","AA_0708 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D10","AA_0699 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D11","AA_0699 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"D12","AA_0699 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E1","2.44x10_2 tyz","Standard Curve","1.391","Amp","STANDARD","34.470","34.912","0.531","244.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","28.0","false","",
"E2","2.44x10_2 tyz","Standard Curve","1.399","Amp","STANDARD","34.766","34.912","0.531","244.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","30.0","false","",
"E3","2.44x10_2 tyz","Standard Curve","1.321","Amp","STANDARD","35.500","34.912","0.531","244.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","30.0","false","",
"E4","AA_0685 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E5","AA_0685 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E6","AA_0685 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E7","AA_0712 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E8","AA_0712 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E9","AA_0712 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E10","AA_0731 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E11","AA_0731 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"E12","AA_0731 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"F1","3x10_1 tyz","Standard Curve","1.157","Inconclusive","STANDARD","37.602","37.713","0.157","30.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","32.0","false","",
"F2","3x10_1 tyz","Standard Curve","1.149","No Amp","STANDARD","37.824","37.713","0.157","30.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","32.0","false","",
"F3","3x10_1 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","37.713","0.157","30.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","39.0","false","",
"F4","AA_0693 R","Unknown","1.424","Amp","UNKNOWN","32.417","32.812","0.342","-","-","-","-","-","-","-","true","0.265","true","3.0","27.0","false","",
"F5","AA_0693 R","Unknown","1.412","Amp","UNKNOWN","33.011","32.812","0.342","-","-","-","-","-","-","-","true","0.265","true","3.0","27.0","false","",
"F6","AA_0693 R","Unknown","1.421","Amp","UNKNOWN","33.008","32.812","0.342","-","-","-","-","-","-","-","true","0.265","true","3.0","27.0","false","",
"F7","AA_0713 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"F8","AA_0713 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"F9","AA_0713 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"F10","AA_0733 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"F11","AA_0733 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"F12","AA_0733 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G1","8 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","-","-","8.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","39.0","false","",
"G2","8 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","-","-","8.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","39.0","false","",
"G3","8 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","-","-","8.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","39.0","false","",
"G4","AA_0694 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G5","AA_0694 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G6","AA_0694 R","Unknown","0.759","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G7","AA_0716 R","Unknown","0.791","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","34.0","false","",
"G8","AA_0716 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G9","AA_0716 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G10","AA_0736 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G11","AA_0736 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"G12","AA_0736 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H1","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H2","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H3","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H4","AA_0701 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H5","AA_0701 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H6","AA_0701 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H7","AA_0719 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H8","AA_0719 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H9","AA_0719 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H10","AA_0744 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H11","AA_0744 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"H12","AA_0744 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",

