#,Sample_ID,Tissue,conc_DNA_ng/microliter,dest_Water,ILWE_conc_DNA_ng/microliter,ILWE_260/280,ILWE_260/230,ILWE_DNA_used_up,Date_Extraction,Machine
84,AA_0712,ILWE,10.65,39.35,234.7,1.98,0.70,FALSE,24.01.21,QuantStudio1
94,AA_0713,ILWE,17.04,32.96,146.7,1.94,0.73,FALSE,24.01.21,QuantStudio1
101,AA_0714,ILWE,11.93,38.07,209.5,1.98,1.07,FALSE,25.01.21,QuantStudio1
39,AA_0715,ILWE,6.41,43.59,390.1,2.01,1.49,FALSE,19.01.21,QuantStudio1
15,AA_0716,ILWE,29.07,20.93,86.0,2.01,0.29,FALSE,11.01.21,QuantStudio1
127,AA_0717,ILWE,5.18,44.82,483.0,1.92,1.19,FALSE,26.01.21,QuantStudio1
80,AA_0718,ILWE,16.70,33.30,149.7,2.03,1.07,FALSE,21.01.21,QuantStudio1
28,AA_0719,ILWE,10.67,39.33,234.2,2.03,0.59,FALSE,19.01.21,QuantStudio1
64,AA_0720,ILWE,5.81,44.19,430.1,2.01,1.26,FALSE,21.01.21,QuantStudio1
121,AA_0721,ILWE,9.49,40.51,263.5,1.91,1.19,FALSE,26.01.21,QuantStudio1
25,AA_0722,ILWE,2.63,47.37,950.7,2.04,1.13,FALSE,19.01.21,QuantStudio1
117,AA_0723,ILWE,11.93,38.07,209.6,1.94,1.10,FALSE,26.01.21,QuantStudio1
115,AA_0724,ILWE,3.55,46.45,705.2,1.90,1.54,FALSE,26.01.21,QuantStudio1
8,AA_0725,ILWE,11.62,38.38,215.1,1.98,2.03,FALSE,07.01.21,QuantStudio1
34,AA_0726,ILWE,21.33,28.67,117.2,2.03,0.60,FALSE,19.01.21,QuantStudio1
114,AA_0727,ILWE,3.34,46.66,748.9,1.91,2.03,FALSE,26.01.21,QuantStudio1
40,AA_0728,ILWE,-,-,49.5,-,-,TRUE,19.01.21,QuantStudio1
140,AA_0728,ILWE,5.78,44.22,432.9,1.85,1.70,TRUE,27.01.21,QuantStudio1
111,AA_0729,ILWE,3.39,46.61,738.1,1.91,1.44,FALSE,25.01.21,QuantStudio1
85,AA_0730,ILWE,9.14,40.86,273.5,1.98,0.93,FALSE,24.01.21,QuantStudio1
20,AA_0731,ILWE,22.48,27.52,111.2,2.21,0.59,FALSE,12.01.21,QuantStudio1
69,AA_0732,ILWE,13.74,36.26,181.9,2.03,0.98,FALSE,21.01.21,QuantStudio1
18,AA_0733,ILWE,19.89,30.11,125.7,2.19,0.87,FALSE,12.01.21,QuantStudio1
97,AA_0734,ILWE,7.91,42.09,316.2,1.95,1.47,FALSE,25.01.21,QuantStudio1
68,AA_0735,ILWE,9.57,40.43,261.3,2.02,1.76,FALSE,21.01.21,QuantStudio1
36,AA_0736,ILWE,24.34,25.66,102.7,2.04,0.53,FALSE,19.01.21,QuantStudio1
44,AA_0737,ILWE,26.57,23.43,94.1,2.01,0.52,TRUE,20.01.21,QuantStudio1
141,AA_0737,ILWE,9.91,40.09,252.2,1.91,0.90,TRUE,27.01.21,QuantStudio1
106,AA_0738,ILWE,9.32,40.68,268.3,1.96,1.50,FALSE,25.01.21,QuantStudio1
65,AA_0739,ILWE,15.35,34.65,162.9,2.04,1.57,FALSE,21.01.21,QuantStudio1
67,AA_0740,ILWE,7.17,42.83,348.7,2.00,1.26,FALSE,21.01.21,QuantStudio1
6,AA_0741,ILWE,21.76,28.24,114.9,2.03,1.26,FALSE,07.01.21,QuantStudio1
99,AA_0742,ILWE,6.96,43.04,359.1,1.95,1.91,FALSE,25.01.21,QuantStudio1
82,AA_0743,ILWE,8.21,41.79,304.6,1.97,1.38,FALSE,24.01.21,QuantStudio1
37,AA_0744,ILWE,15.50,34.50,161.3,2.02,0.71,FALSE,19.01.21,QuantStudio1
52,AA_0745,ILWE,4.34,45.66,576.5,1.96,1.79,FALSE,20.01.21,QuantStudio1
89,AA_0746,ILWE,10.25,39.75,244.0,1.94,0.96,FALSE,24.01.21,QuantStudio1
109,AA_0747,ILWE,5.95,44.05,419.9,1.91,2.03,FALSE,25.01.21,QuantStudio1
122,AA_0748,ILWE,6.12,43.88,408.2,1.93,1.26,FALSE,26.01.21,QuantStudio1
4,AA_0749,ILWE,28.03,21.97,89.2,1.99,0.72,TRUE,06.01.21,QuantStudio1
142,AA_0749,ILWE,5.49,44.51,455.1,1.89,1.31,TRUE,27.01.21,QuantStudio1
124,AA_0750,ILWE,4.69,45.31,533.4,1.90,0.96,FALSE,26.01.21,QuantStudio1
33,AA_0752,ILWE,6.44,43.56,388.0,1.98,0.78,FALSE,19.01.21,QuantStudio1
128,AA_0753,ILWE,14.21,35.79,175.9,1.97,0.71,FALSE,26.01.21,QuantStudio1
50,AA_0754 I,ILWE,21.74,28.26,115.0,2.01,0.71,FALSE,20.01.21,QuantStudio1
88,AA_0754 II,ILWE,31.69,18.31,78.9,1.92,0.79,FALSE,24.01.21,QuantStudio1
72,AA_0755 I,ILWE,6.75,43.25,370.3,2.00,1.24,FALSE,21.01.21,QuantStudio1
135,AA_0755 II,ILWE,8.38,41.62,298.2,1.95,1.09,TRUE,26.01.21,QuantStudio1
125,AA_0756,ILWE,12.38,37.62,202.0,1.94,1.00,FALSE,26.01.21,QuantStudio1
100,AA_0757,ILWE,8.54,41.46,292.9,1.97,1.11,FALSE,25.01.21,QuantStudio1
79,AA_0758,ILWE,18.98,31.02,131.7,2.04,0.77,FALSE,21.01.21,QuantStudio1
2,AA_0759,ILWE,11.65,38.35,214.6,1.99,2.10,FALSE,06.01.21,QuantStudio1
116,AA_0760,ILWE,9.90,40.10,252.5,1.92,0.81,FALSE,26.01.21,QuantStudio1
77,AA_0761,ILWE,7.30,42.70,342.4,2.00,1.04,FALSE,21.01.21,QuantStudio1
24,AA_0762,ILWE,24.46,25.54,102.2,2.19,1.04,FALSE,12.01.21,QuantStudio1
113,AA_0763,ILWE,8.28,41.72,301.9,1.95,1.80,FALSE,26.01.21,QuantStudio1
87,AA_0764,ILWE,8.68,41.32,288.1,1.96,1.16,FALSE,24.01.21,QuantStudio1
81,AA_0765,ILWE,8.45,41.55,295.9,1.90,1.48,FALSE,24.01.21,QuantStudio1
35,AA_0766,ILWE,14.38,35.62,173.9,2.03,0.87,FALSE,19.01.21,QuantStudio1
76,AA_0767,ILWE,-,-,45.5,2.01,0.20,TRUE,21.01.21,QuantStudio1
143,AA_0767,ILWE,3.26,46.74,766.1,1.94,1.05,TRUE,27.01.21,QuantStudio1
74,AA_0768,ILWE,12.72,37.28,196.6,2.04,1.19,FALSE,21.01.21,QuantStudio1
26,AA_0769,ILWE,3.43,46.57,728.2,1.96,1.80,FALSE,19.01.21,QuantStudio1
14,AA_0770,ILWE,10.24,39.76,244.1,1.99,1.02,FALSE,11.01.21,QuantStudio1
120,AA_0771,ILWE,5.64,44.36,443.6,1.90,1.88,FALSE,26.01.21,QuantStudio1
21,AA_0772,ILWE,9.67,40.33,258.5,2.09,2.17,FALSE,12.01.21,QuantStudio1
118,AA_0773,ILWE,5.91,44.09,423.2,1.92,1.26,FALSE,26.01.21,QuantStudio1
61,AA_0774,ILWE,4.10,45.90,609.9,2.02,1.43,FALSE,21.01.21,QuantStudio1
110,AA_0775,ILWE,10.43,39.57,239.7,1.96,0.71,FALSE,25.01.21,QuantStudio1
108,AA_0780,ILWE,11.37,38.63,219.9,1.94,1.38,TRUE,25.01.21,QuantStudio1
90,AA_0783,ILWE,11.06,38.94,226.1,1.96,1.25,FALSE,24.01.21,QuantStudio1
137,AA_0784,ILWE,3.75,46.25,666.1,1.91,1.64,FALSE,26.01.21,QuantStudio1
136,AA_0786,ILWE,7.55,42.45,331.1,1.93,1.21,FALSE,26.01.21,QuantStudio1
41,AA_0788,ILWE,36.28,13.72,68.9,2.01,0.25,TRUE,20.01.21,QuantStudio1
144,AA_0788,ILWE,2.63,47.37,951.7,1.92,1.08,TRUE,27.01.21,QuantStudio1
51,AA_0789,ILWE,13.39,36.61,186.7,2.04,1.56,FALSE,20.01.21,QuantStudio1
58,AA_0790,ILWE,4.41,45.59,567.0,1.97,1.59,FALSE,21.01.21,QuantStudio1
42,AA_0791,ILWE,3.40,46.60,734.8,2.02,1.86,FALSE,20.01.21,QuantStudio1
95,AA_0793,ILWE,3.43,46.57,729.4,1.93,1.44,FALSE,24.01.21,QuantStudio1
91,AA_0794,ILWE,11.67,38.33,214.2,1.96,1.37,FALSE,24.01.21,QuantStudio1
93,AA_0799,ILWE,3.89,46.11,643.1,1.94,1.36,FALSE,24.01.21,QuantStudio1
123,AA_0801,ILWE,3.37,46.63,741.1,1.88,1.90,FALSE,26.01.21,QuantStudio1
119,AA_0801 I,ILWE,6.53,43.47,383.1,1.93,1.36,FALSE,26.01.21,QuantStudio1
53,AA_0804,ILWE,2.96,47.04,844.3,1.97,2.03,FALSE,20.01.21,QuantStudio1
46,AA_0805,ILWE,5.25,44.75,476.0,1.99,2.03,FALSE,20.01.21,QuantStudio1
57,AA_0806,ILWE,3.32,46.68,753.1,1.99,19.40,FALSE,21.01.21,QuantStudio1
48,AA_0807,ILWE,2.58,47.42,967.6,2.04,0.34,FALSE,20.01.21,QuantStudio1
23,AA_0808,ILWE,12.04,37.96,207.6,2.10,1.70,FALSE,12.01.21,QuantStudio1
92,AA_0811,ILWE,12.93,37.07,193.4,1.97,1.54,FALSE,24.01.21,QuantStudio1
49,AA_0815,ILWE,6.79,43.21,368.4,1.98,0.97,FALSE,20.01.21,QuantStudio1
55,AA_0820,ILWE,17.37,32.63,143.9,2.03,0.34,FALSE,20.01.21,QuantStudio1
73,AA_0821 I,ILWE,6.22,43.78,402.2,1.99,1.70,FALSE,21.01.21,QuantStudio1
56,AA_0821 II,ILWE,5.35,44.65,467.7,1.96,1.87,FALSE,20.01.21,QuantStudio1
54,AA_0823,ILWE,8.02,41.98,311.7,2.02,0.78,FALSE,20.01.21,QuantStudio1
47,AA_0827,ILWE,20.63,29.37,121.2,2.01,0.79,FALSE,20.01.21,QuantStudio1
22,AA_0828,ILWE,27.32,22.68,91.5,2.25,2.82,TRUE,12.01.21,QuantStudio1
145,AA_0828,ILWE,18.46,31.54,135.4,1.95,0.44,TRUE,27.01.21,QuantStudio1
105,AA_0830,ILWE,28.31,21.69,88.3,1.96,0.20,TRUE,25.01.21,QuantStudio1
146,AA_0830,ILWE,6.71,43.29,372.8,1.97,0.68,TRUE,27.01.21,QuantStudio1
96,AA_0837,ILWE,7.83,42.17,319.3,1.96,1.18,FALSE,24.01.21,QuantStudio1
71,AA_0844,ILWE,3.60,46.40,694.2,1.98,1.77,FALSE,21.01.21,QuantStudio1
86,AA_0845,ILWE,12.33,37.67,202.7,1.99,0.82,FALSE,24.01.21,QuantStudio1
7,AA_0846,ILWE,11.99,38.01,208.5,1.97,1.67,FALSE,07.01.21,QuantStudio1
12,AA_0847,ILWE,10.11,39.89,247.4,1.99,1.27,FALSE,11.01.21,QuantStudio1
129,AA_0848,ILWE,4.51,45.49,553.9,1.88,1.76,FALSE,26.01.21,QuantStudio1
104,AA_0849,ILWE,7.64,42.36,327.4,1.95,1.01,FALSE,25.01.21,QuantStudio1
70,AA_0850,ILWE,4.44,45.56,563.6,1.96,1.83,FALSE,21.01.21,QuantStudio1
66,AA_0851,ILWE,9.09,40.91,275.0,2.02,1.73,FALSE,21.01.21,QuantStudio1
102,AA_0852,ILWE,2.98,47.02,838.0,1.95,1.53,FALSE,25.01.21,QuantStudio1
38,AA_0853,ILWE,6.18,43.82,404.8,1.99,1.67,FALSE,19.01.21,QuantStudio1
16,AA_0854,ILWE,25.54,24.46,97.9,1.99,0.76,FALSE,11.01.21,QuantStudio1
103,AA_0855,ILWE,3.25,46.75,770.2,1.94,1.46,FALSE,25.01.21,QuantStudio1
98,AA_0856,ILWE,7.62,42.38,328.0,1.96,1.25,FALSE,25.01.21,QuantStudio1
107,AA_0857,ILWE,6.01,43.99,416.2,1.91,1.68,FALSE,25.01.21,QuantStudio1
