"","Mouse_ID","HI","HI_Level","Year","Date","Plate","Tested_by","Machine","Measurements","Ct_mean_ABI","Ct_1_Ep","Ct_1_Ep_Real_Pred","Ct_1_Ep_Real_Check","Ct_2_Ep","Ct_2_Ep_Real_Pred","Ct_2_Ep_Real_Check","Ct_mean_Ep","Ct_Ep_Consistent","Ct_1_ABI","Ct_2_ABI","Ct_3_ABI","Ct_mean_1_ABI","Ct_4_ABI","Ct_5_ABI","Ct_6_ABI","Ct_mean_2_ABI","Ct_7_ABI","Ct_8_ABI","Ct_9_ABI","Ct_mean_3_ABI","Ct_mean","Consistent","StDev","Transect","Latitude","Longitude","Sex","Oocyst_Predict","Oocyst_Level","Oocyst_Predict.1"
"12","AA_0059",0.85,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,8.33,FALSE,FALSE,8.36,FALSE,FALSE,0,8.345,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,4.46,"HZ_BR",52.8431,14.1158,"M","0","OP = 0",4292821751815.77
"13","AA_0060",0.84,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,7.27,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.64,"HZ_BR",52.8431,14.1158,"F","0","OP = 0",4292821751815.77
"14","AA_0061",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,8.31,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.16,"HZ_BR",52.2742,13.5953,"M","0","OP = 0",4292821751815.77
"15","AA_0062",0.04,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,6.21,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.11,"HZ_BR",52.2742,13.5953,"F","0","OP = 0",4292821751815.77
"16","AA_0063",0.1,"HI < 0.25",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,9.39,FALSE,FALSE,32.5,TRUE,TRUE,20.945,20.945,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,13.85,"HZ_BR",52.2678,13.84,"M","0","OP = 0",4292821751815.77
"17","AA_0065",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,5.95,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2.98,"HZ_BR",52.4164,13.4642,"M","0","OP = 0",4292821751815.77
"18","AA_0067",0.1,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,34.89,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17.45,"HZ_BR",52.4164,13.4642,"M","0","OP = 0",4292821751815.77
"19","AA_0071",0.04,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,7.2,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.6,"HZ_BR",52.8425,13.6,"F","0","OP = 0",4292821751815.77
"20","AA_0072",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,9.03,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.52,"HZ_BR",52.9936,13.3047,"F","0","OP = 0",4292821751815.77
"21","AA_0073",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,6.23,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.12,"HZ_BR",52.9936,13.3047,"F","0","OP = 0",4292821751815.77
"22","AA_0074",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,7.59,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.8,"HZ_BR",52.9936,13.3047,"F","0","OP = 0",4292821751815.77
"23","AA_0075",0,"HI == 0",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,32.44,TRUE,FALSE,6.94,FALSE,FALSE,19.69,19.69,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,12.36,"HZ_BR",52.9936,13.3047,"F","0","OP = 0",4292821751815.77
"24","AA_0076",0.05,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,33.51,TRUE,TRUE,31.7,TRUE,TRUE,32.6,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,0.74,"HZ_BR",52.2422,13.7072,"M","1109","OP < 10^4",1108.62644185542
"25","AA_0077",0,"HI == 0",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,8.36,FALSE,FALSE,8.99,FALSE,FALSE,8.675,8.675,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,4.66,"HZ_BR",52.2156,13.5883,"F","0","OP = 0",4292821751815.77
"26","AA_0078",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,30.06,TRUE,TRUE,29.63,TRUE,TRUE,29.85,29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.85,NA,0.18,"HZ_BR",52.2156,13.5883,"F","7138","OP < 10^4",7138.14456086088
"27","AA_0079",0.1,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,12.22,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6.11,"HZ_BR",52.2678,13.84,"M","0","OP = 0",4292821751815.77
"28","AA_0081",0.05,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,9.95,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.98,"HZ_BR",52.2678,13.84,"M","0","OP = 0",4292821751815.77
"29","AA_0082",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,8.78,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.39,"HZ_BR",52.2678,13.84,"F","0","OP = 0",4292821751815.77
"30","AA_0083",0.91,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,10.56,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.28,"HZ_BR",52.4978,13.6761,"F","0","OP = 0",4292821751815.77
"31","AA_0084",0.5,"HI < 0.75",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.4978,13.6761,"M","0","OP = 0",4292821751815.77
"32","AA_0085",0.8,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,6.88,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.44,"HZ_BR",52.4978,13.6761,"F","0","OP = 0",4292821751815.77
"33","AA_0086",0.12,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,8.93,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.47,"HZ_BR",52.4978,13.6761,"M","0","OP = 0",4292821751815.77
"34","AA_0087",0.78,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,11.69,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.85,"HZ_BR",52.4978,13.6761,"F","0","OP = 0",4292821751815.77
"35","AA_0088",0.2,"HI < 0.25",2016,"2016","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HZ_BR",13.84,52.2678,"M",NA,NA,NA
"36","AA_0089",0.05,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.2678,13.84,"F","0","OP = 0",4292821751815.77
"37","AA_0090",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,10.25,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.13,"HZ_BR",52.2422,13.7072,"M","0","OP = 0",4292821751815.77
"38","AA_0091",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.7881,13.5544,"F","0","OP = 0",4292821751815.77
"39","AA_0092",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,12.83,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6.42,"HZ_BR",52.7881,13.5544,"M","0","OP = 0",4292821751815.77
"40","AA_0093",0.06,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,11.42,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.71,"HZ_BR",52.9936,13.3047,"M","0","OP = 0",4292821751815.77
"41","AA_0094",0.04,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,10.81,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.41,"HZ_BR",52.9936,13.3047,"F","0","OP = 0",4292821751815.77
"42","AA_0095",0.05,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,11.96,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.98,"HZ_BR",52.9936,13.3047,"M","0","OP = 0",4292821751815.77
"43","AA_0096",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,39.73,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,19.87,"HZ_BR",51.93,13.0439,"F","0","OP = 0",4292821751815.77
"44","AA_0097",0.06,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.7169,13.64,"M","0","OP = 0",4292821751815.77
"45","AA_0098",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,8.79,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.4,"HZ_BR",52.7169,13.64,"M","0","OP = 0",4292821751815.77
"46","AA_0099",0.29,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,33.56,TRUE,FALSE,31.6,TRUE,FALSE,32.58,32.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.58,NA,0.8,"HZ_BR",52.0311,13.0819,"M","1124","OP < 10^4",1123.74407609776
"47","AA_0101",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,29.3,TRUE,TRUE,30.09,TRUE,TRUE,29.7,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,NA,0.32,"HZ_BR",51.8625,13.4639,"M","7901","OP < 10^4",7901.3574337203
"48","AA_0102",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",51.9097,13.1953,"M","0","OP = 0",4292821751815.77
"49","AA_0103",0.91,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,10.73,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.37,"HZ_BR",52.9783,13.7336,"F","0","OP = 0",4292821751815.77
"50","AA_0104",0.95,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,9.1,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.55,"HZ_BR",52.9783,13.7336,"M","0","OP = 0",4292821751815.77
"51","AA_0105",0.87,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,3.05,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.53,"HZ_BR",52.9783,13.7336,"F","0","OP = 0",4292821751815.77
"52","AA_0106",0.89,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,31.30959361,33.23,TRUE,TRUE,18.34,FALSE,FALSE,25.785,33.23,31.00914358,31.77852371,31.14111353,31.30959361,NA,NA,NA,NA,NA,NA,NA,NA,31.7896952,TRUE,5.41,"HZ_BR",52.9783,13.7336,"M","2656","OP < 10^4",1919.12504068054
"53","AA_0107",0.88,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.9783,13.7336,"F","0","OP = 0",4292821751815.77
"54","AA_0108",0.84,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,9.25,FALSE,FALSE,36.88,TRUE,TRUE,23.065,23.065,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,15.66,"HZ_BR",52.9783,13.7336,"M","0","OP = 0",4292821751815.77
"55","AA_0109",0.95,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,8.45,FALSE,FALSE,7.9,FALSE,FALSE,8.175,8.175,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,4.35,"HZ_BR",52.9783,13.7336,"M","0","OP = 0",4292821751815.77
"56","AA_0110",0.58,"HI < 0.75",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,37.41,TRUE,FALSE,7.05,FALSE,FALSE,22.23,22.23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,14.22,"HZ_BR",52.4978,13.6761,"M","0","OP = 0",4292821751815.77
"57","AA_0111",0.87,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,37.5111995,8.42,FALSE,FALSE,35.76,TRUE,TRUE,22.09,35.76,0,0,37.5111995,37.5111995,NA,NA,NA,NA,NA,NA,NA,NA,36.63559975,TRUE,17.04,"HZ_BR",52.9581,13.895,"F","40","OP < 10^2",72.0905772527371
"58","AA_0112",0.89,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,17.36,FALSE,FALSE,38.1,TRUE,TRUE,27.73,27.73,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,16.73,"HZ_BR",52.9581,13.895,"M","0","OP = 0",4292821751815.77
"59","AA_0113",0.16,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,13.17,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6.59,"HZ_BR",52.2678,13.84,"M","0","OP = 0",4292821751815.77
"60","AA_0114",0.78,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,35.31,TRUE,FALSE,10.11,FALSE,FALSE,22.71,22.71,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,13.62,"HZ_BR",52.9581,13.895,"F","0","OP = 0",4292821751815.77
"61","AA_0115",0.95,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,12.31,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6.16,"HZ_BR",52.9783,13.7336,"M","0","OP = 0",4292821751815.77
"62","AA_0117",0.92,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,22.05,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11.03,"HZ_BR",52.9783,13.7336,"F","0","OP = 0",4292821751815.77
"63","AA_0118",0.91,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,33.71,TRUE,FALSE,32.66,TRUE,FALSE,33.18,33.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.18,NA,0.43,"HZ_BR",52.9783,13.7336,"F","749","OP < 10^3",748.517464147053
"64","AA_0119",0.87,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,29.83,TRUE,TRUE,29.74,TRUE,TRUE,29.78,29.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.78,NA,0.04,"HZ_BR",52.9783,13.7336,"F","7485","OP < 10^4",7484.67553304391
"65","AA_0120",0.87,"HI < 1",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,35.36763722,11.02,FALSE,FALSE,38.91,TRUE,TRUE,24.965,38.91,36.03231845,35.04052388,35.03006933,35.36763722,NA,NA,NA,NA,NA,NA,NA,NA,36.25322791,TRUE,10.14,"HZ_BR",52.9581,13.895,"F","170","OP < 10^3",93.3979947605806
"66","AA_0121",0.89,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,32.64,TRUE,FALSE,29.57,TRUE,FALSE,31.11,31.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.11,NA,1.25,"HZ_BR",52.9581,13.895,"F","3041","OP < 10^4",3040.93989136856
"67","AA_0122",1,"HI == 1",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.9783,13.7336,"F","0","OP = 0",4292821751815.77
"68","AA_0123",0,"HI == 0",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,8.7,FALSE,FALSE,39.65,TRUE,TRUE,24.18,24.18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,15.71,"HZ_BR",52.9936,13.3047,"F","332035","OP < 10^6",4292821751815.77
"69","AA_0124",0.04,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.9936,13.3047,"F","0","OP = 0",4292821751815.77
"70","AA_0125",0.04,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,9.39,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.7,"HZ_BR",52.9936,13.3047,"F","0","OP = 0",4292821751815.77
"71","AA_0126",0.25,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.7544,13.7875,"F","0","OP = 0",4292821751815.77
"72","AA_0127",0.05,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,10.75,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.38,"HZ_BR",53.0322,13.2567,"M","0","OP = 0",4292821751815.77
"73","AA_0128",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,37.92,TRUE,FALSE,35.19,TRUE,FALSE,36.55,36.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.55,NA,1.11,"HZ_BR",53.0386,13.1869,"M","76","OP < 10^2",76.3931065370731
"74","AA_0129",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,10.65,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5.33,"HZ_BR",53.0322,13.2567,"F","0","OP = 0",4292821751815.77
"75","AA_0130",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.1583,13.5878,"F","0","OP = 0",4292821751815.77
"76","AA_0131",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.1583,13.5878,"M","0","OP = 0",4292821751815.77
"77","AA_0132",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.1583,13.5878,"M","0","OP = 0",4292821751815.77
"78","AA_0133",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.1303,13.6086,"M","0","OP = 0",4292821751815.77
"79","AA_0134",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.1583,13.5878,"F","0","OP = 0",4292821751815.77
"80","AA_0135",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.1583,13.5878,"M","0","OP = 0",4292821751815.77
"81","AA_0136",0.1,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.7544,13.7875,"M","0","OP = 0",4292821751815.77
"82","AA_0137",0.13,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.7544,13.7875,"F","0","OP = 0",4292821751815.77
