# Experiment File Name : Plate_4.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-05-27 02:26:32 PM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"C5","AA_0771","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C6","AA_0771","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C7","AA_0691","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C8","AA_0691","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C9","AA_0691","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C10","AA_0697 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C11","AA_0697 R","Unknown","0.384","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C12","AA_0697 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D1","1.95x10_3 tyz","Standard Curve","1.434","Amp","STANDARD","31.374","31.369","0.012","1953.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","26.0","false","",
"D2","1.95x10_3 tyz","Standard Curve","1.417","Amp","STANDARD","31.378","31.369","0.012","1953.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","26.0","false","",
"D3","1.95x10_3 tyz","Standard Curve","1.418","Amp","STANDARD","31.355","31.369","0.012","1953.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","26.0","false","",
"D4","AA_0721","Unknown","0.0","No Amp","UNKNOWN","Undetermined","35.686","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D5","AA_0721","Unknown","1.054","Amp","UNKNOWN","35.686","35.686","-","-","-","-","-","-","-","-","true","0.04","true","3.0","33.0","false","",
"D6","AA_0721","Unknown","0.0","No Amp","UNKNOWN","Undetermined","35.686","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D7","AA_0706","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D8","AA_0706","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D9","AA_0706","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D10","AA_0705 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D11","AA_0705 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"D12","AA_0705 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E1","2.44x10_2 tyz","Standard Curve","1.347","Amp","STANDARD","34.972","34.985","0.097","244.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","30.0","false","",
"E2","2.44x10_2 tyz","Standard Curve","1.346","Amp","STANDARD","34.895","34.985","0.097","244.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","30.0","false","",
"E3","2.44x10_2 tyz","Standard Curve","1.337","Amp","STANDARD","35.087","34.985","0.097","244.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","30.0","false","",
"E4","AA_0748","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E5","AA_0748","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E6","AA_0748","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E7","AA_0692","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E8","AA_0692","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E9","AA_0692","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E10","AA_0728 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E11","AA_0728 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"E12","AA_0728 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F1","3x10_1 tyz","Standard Curve","1.313","Amp","STANDARD","35.872","36.812","1.33","30.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","30.0","false","",
"F2","3x10_1 tyz","Standard Curve","1.136","Inconclusive","STANDARD","37.753","36.812","1.33","30.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","33.0","false","",
"F3","3x10_1 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","36.812","1.33","30.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","39.0","false","",
"F4","AA_0801","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F5","AA_0801","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F6","AA_0801","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F7","AA_0684","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F8","AA_0684","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F9","AA_0684","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F10","AA_0737 R","Unknown","0.977","Amp","UNKNOWN","34.259","34.259","-","-","-","-","-","-","-","-","true","0.04","true","3.0","31.0","false","",
"F11","AA_0737 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","34.259","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"F12","AA_0737 R","Unknown","0.523","No Amp","UNKNOWN","Undetermined","34.259","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"G1","8 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","-","-","8.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","39.0","false","",
"G2","8 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","-","-","8.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","39.0","false","",
"G3","8 tyz","Standard Curve","0.0","No Amp","STANDARD","Undetermined","-","-","8.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","39.0","false","",
"G4","AA_0756","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"G5","AA_0756","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"G6","AA_0756","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"G7","AA_0688","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"G8","AA_0688","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"G9","AA_0688","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"G10","AA_0749 R","Unknown","0.999","Amp","UNKNOWN","34.165","33.681","1.204","-","-","-","-","-","-","-","true","0.04","true","3.0","29.0","false","",
"G11","AA_0749 R","Unknown","1.137","Amp","UNKNOWN","32.311","33.681","1.204","-","-","-","-","-","-","-","true","0.04","true","3.0","28.0","false","",
"G12","AA_0749 R","Unknown","0.849","Amp","UNKNOWN","34.568","33.681","1.204","-","-","-","-","-","-","-","true","0.04","true","3.0","32.0","false","",
"H1","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H2","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H3","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H4","AA_0710","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H5","AA_0710","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H6","AA_0710","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H7","AA_0755 II","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H8","AA_0755 II","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H9","AA_0755 II","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H10","AA_0767 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H11","AA_0767 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"H12","AA_0767 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",

