# Experiment File Name : Plate2_NQ.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-09 12:29:31 PM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A11","AA_0761","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"A12","AA_0761","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B1","10_6","Standard Curve","1.256","Amp","STANDARD","21.501","21.48","0.159","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","17.0","false","",
"B2","10_6","Standard Curve","1.258","Amp","STANDARD","21.627","21.48","0.159","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","18.0","false","",
"B3","10_6","Standard Curve","1.262","Amp","STANDARD","21.312","21.48","0.159","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","17.0","false","",
"B4","AA_0821 II","Unknown","0.0","No Amp","UNKNOWN","Undetermined","38.0","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B5","AA_0821 II","Unknown","1.102","Inconclusive","UNKNOWN","38.000","38.0","-","-","-","-","-","-","-","-","true","0.211","true","3.0","32.0","false","",
"B6","AA_0821 II","Unknown","0.0","No Amp","UNKNOWN","Undetermined","38.0","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B7","AA_0735","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B8","AA_0735","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B9","AA_0735","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B10","AA_0704","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B11","AA_0704","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"B12","AA_0704","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","9.0","false","",
"C1","10_5","Standard Curve","1.148","Amp","STANDARD","22.896","22.957","0.075","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","18.0","false","",
"C2","10_5","Standard Curve","1.152","Amp","STANDARD","22.934","22.957","0.075","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","17.0","false","",
"C3","10_5","Standard Curve","1.152","Amp","STANDARD","23.041","22.957","0.075","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","19.0","false","",
"C4","AA_0790","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C5","AA_0790","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C6","AA_0790","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C7","AA_0850","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C8","AA_0850","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C9","AA_0850","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C10","AA_0718","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C11","AA_0718","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"C12","AA_0718","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D1","10_4","Standard Curve","1.335","Amp","STANDARD","23.229","23.282","0.046","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","19.0","false","",
"D2","10_4","Standard Curve","1.334","Amp","STANDARD","23.316","23.282","0.046","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","20.0","false","",
"D3","10_4","Standard Curve","1.338","Amp","STANDARD","23.299","23.282","0.046","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","19.0","false","",
"D4","AA_0696","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D5","AA_0696","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D6","AA_0696","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D7","AA_0844","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D8","AA_0844","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D9","AA_0844","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D10","AA_0765","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D11","AA_0765","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"D12","AA_0765","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"E1","10_3","Standard Curve","1.428","Amp","STANDARD","24.095","24.052","0.066","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","21.0","false","",
"E2","10_3","Standard Curve","1.434","Amp","STANDARD","24.085","24.052","0.066","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","21.0","false","",
"E3","10_3","Standard Curve","1.414","Amp","STANDARD","23.975","24.052","0.066","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","19.0","false","",
"E4","AA_0774","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"E5","AA_0774","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"E6","AA_0774","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"E7","AA_0755 I","Unknown","1.37","Amp","UNKNOWN","34.041","34.168","0.46","-","-","-","-","-","-","-","true","0.211","true","3.0","28.0","false","",
"E8","AA_0755 I","Unknown","1.363","Amp","UNKNOWN","34.678","34.168","0.46","-","-","-","-","-","-","-","true","0.211","true","3.0","29.0","false","",
"E9","AA_0755 I","Unknown","1.375","Amp","UNKNOWN","33.785","34.168","0.46","-","-","-","-","-","-","-","true","0.211","true","3.0","27.0","false","",
"E10","AA_0743","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"E11","AA_0743","Unknown","0.714","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","35.0","false","",
"E12","AA_0743","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F1","10_2","Standard Curve","1.099","No Amp","STANDARD","26.642","26.546","0.105","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","23.0","false","",
"F2","10_2","Standard Curve","1.1","No Amp","STANDARD","26.563","26.546","0.105","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","22.0","false","",
"F3","10_2","Standard Curve","1.104","No Amp","STANDARD","26.433","26.546","0.105","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","22.0","false","",
"F4","AA_0720","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F5","AA_0720","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F6","AA_0720","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F7","AA_0821 I","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F8","AA_0821 I","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F9","AA_0821 I","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F10","AA_0709","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F11","AA_0709","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"F12","AA_0709","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"G1","10_1","Standard Curve","1.445","Amp","STANDARD","25.924","25.919","0.022","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","23.0","false","",
"G2","10_1","Standard Curve","1.45","Amp","STANDARD","25.939","25.919","0.022","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","22.0","false","",
"G3","10_1","Standard Curve","1.452","Amp","STANDARD","25.896","25.919","0.022","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","21.0","false","",
"G4","AA_0739","Unknown","1.46","Amp","UNKNOWN","33.028","33.387","0.418","-","-","-","-","-","-","-","true","0.211","true","3.0","27.0","false","",
"G5","AA_0739","Unknown","1.443","Amp","UNKNOWN","33.845","33.387","0.418","-","-","-","-","-","-","-","true","0.211","true","3.0","28.0","false","",
"G6","AA_0739","Unknown","1.46","Amp","UNKNOWN","33.288","33.387","0.418","-","-","-","-","-","-","-","true","0.211","true","3.0","29.0","false","",
"G7","AA_0768","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"G8","AA_0768","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"G9","AA_0768","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"G10","AA_0764","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"G11","AA_0764","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"G12","AA_0764","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"H1","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H2","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H3","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H4","AA_0851","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"H5","AA_0851","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"H6","AA_0851","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"H7","AA_0703","Unknown","1.337","Amp","UNKNOWN","34.733","34.227","0.438","-","-","-","-","-","-","-","true","0.211","true","3.0","28.0","false","",
"H8","AA_0703","Unknown","1.35","Amp","UNKNOWN","33.966","34.227","0.438","-","-","-","-","-","-","-","true","0.211","true","3.0","28.0","false","",
"H9","AA_0703","Unknown","1.334","Amp","UNKNOWN","33.981","34.227","0.438","-","-","-","-","-","-","-","true","0.211","true","3.0","27.0","false","",
"H10","AA_0783","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"H11","AA_0783","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"H12","AA_0783","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",

