# Experiment File Name : Plate 1 noQuench.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-09 12:29:30 PM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.132","0.096","false","20.0","122897.99",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.206","0.17","false","21.0","122939.53",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.35","0.314","false","22.0","122991.36",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.566","0.531","false","23.0","122818.83",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.858","0.822","false","24.0","122712.09",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","2.213","1.177","false","25.0","122924.26",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","2.589","1.554","false","26.0","122899.74",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","2.983","1.948","false","27.0","122796.33",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","3.36","2.324","false","28.0","122994.44",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","3.689","2.653","false","29.0","123253.25",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","3.991","2.955","false","30.0","123175.086",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.249","3.213","false","31.0","123150.92",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.467","3.431","false","32.0","123138.234",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.635","3.599","false","33.0","123055.22",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.748","3.712","false","34.0","123226.13",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.841","3.805","false","35.0","123254.195",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.905","3.869","false","36.0","123117.28",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.95","3.914","false","37.0","123117.83",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","4.987","3.951","false","38.0","123231.88",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","5.013","3.977","false","39.0","123148.37",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","5.034","3.998","false","40.0","122987.09",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.984","0.0","false","1.0","127159.01",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.987","0.003","false","2.0","127234.32",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.985","0.001","false","3.0","127688.62",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.986","0.002","false","4.0","127981.984",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.981","-0.003","false","5.0","128306.625",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.982","-0.003","false","6.0","128378.195",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.989","0.004","false","7.0","128534.03",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.98","-0.005","false","8.0","128653.64",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.978","-0.007","false","9.0","128682.36",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.986","0.001","false","10.0","128687.48",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.994","0.008","false","11.0","128877.57",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.995","0.009","false","12.0","129090.57",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.991","0.005","false","13.0","129174.44",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.981","-0.006","false","14.0","129235.98",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.98","-0.006","false","15.0","129056.766",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.988","0.0","false","16.0","128978.44",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","0.993","0.005","false","17.0","129306.82",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","1.007","0.02","false","18.0","129539.06",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","1.037","0.049","false","19.0","129588.78",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","1.086","0.098","false","20.0","129522.8",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","1.167","0.178","false","21.0","129672.805",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","1.3","0.311","false","22.0","129611.414",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","1.509","0.52","false","23.0","129650.05",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","1.804","0.815","false","24.0","129620.77",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","2.161","1.172","false","25.0","129502.58",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","2.56","1.57","false","26.0","129426.5",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","2.965","1.975","false","27.0","129713.78",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","3.346","2.356","false","28.0","129912.63",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","3.687","2.696","false","29.0","129949.2",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","3.982","2.991","false","30.0","129871.27",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.235","3.244","false","31.0","129682.3",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.465","3.473","false","32.0","129341.15",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.633","3.641","false","33.0","129249.086",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.737","3.745","false","34.0","129658.01",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.821","3.829","false","35.0","129858.266",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.897","3.905","false","36.0","129734.75",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.946","3.953","false","37.0","129684.27",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","4.965","3.972","false","38.0","129815.56",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","5.0","4.007","false","39.0","129507.75",
"Plate 1 noQuench.eds","","A2","Standard Curve","10_7","5.035","4.041","false","40.0","129295.77",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.939","-0.006","false","1.0","119036.516",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.943","-0.004","false","2.0","119124.66",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.952","0.004","false","3.0","119600.8",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.951","0.003","false","4.0","119838.67",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.949","-0.001","false","5.0","119984.52",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.949","-0.001","false","6.0","120007.59",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.948","-0.004","false","7.0","120279.8",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.95","-0.002","false","8.0","120604.836",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.947","-0.006","false","9.0","120582.92",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.947","-0.007","false","10.0","120585.984",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.96","0.004","false","11.0","120490.95",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.966","0.01","false","12.0","120475.58",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.962","0.005","false","13.0","120856.13",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.957","-0.001","false","14.0","121057.086",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.956","-0.003","false","15.0","121142.875",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.963","0.003","false","16.0","121042.76",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.97","0.009","false","17.0","120909.36",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","0.985","0.023","false","18.0","120901.17",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","1.01","0.047","false","19.0","120939.06",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","1.042","0.078","false","20.0","121228.75",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","1.124","0.159","false","21.0","121201.48",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","1.265","0.299","false","22.0","121109.266",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","1.48","0.513","false","23.0","121249.8",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","1.78","0.813","false","24.0","121179.266",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","2.151","1.182","false","25.0","121175.2",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","2.551","1.581","false","26.0","121161.195",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","2.957","1.987","false","27.0","121118.586",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","3.341","2.37","false","28.0","121411.06",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","3.695","2.722","false","29.0","121486.57",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.004","3.031","false","30.0","121318.21",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.26","3.286","false","31.0","121173.914",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.475","3.5","false","32.0","121183.38",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.643","3.667","false","33.0","121043.81",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.761","3.784","false","34.0","120984.1",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.839","3.861","false","35.0","121289.11",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.908","3.929","false","36.0","121279.625",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.953","3.973","false","37.0","121332.55",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","4.985","4.004","false","38.0","121215.13",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","5.019","4.037","false","39.0","121102.58",
"Plate 1 noQuench.eds","","A3","Standard Curve","10_7","5.04","4.057","false","40.0","121048.91",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.066","-0.004","false","1.0","122196.3",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.067","-0.004","false","2.0","122347.45",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.069","-0.002","false","3.0","122477.64",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.068","-0.003","false","4.0","122786.56",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.07","-0.001","false","5.0","122853.57",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.073","0.002","false","6.0","122938.03",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.073","0.001","false","7.0","122888.65",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.073","0.001","false","8.0","122595.95",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.073","0.001","false","9.0","122492.87",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.071","-0.002","false","10.0","122740.4",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.072","-0.001","false","11.0","122746.42",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.072","-0.001","false","12.0","122456.86",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.072","-0.001","false","13.0","122330.836",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.07","-0.004","false","14.0","122446.65",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.07","-0.004","false","15.0","122376.57",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.072","-0.002","false","16.0","122295.81",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.072","-0.002","false","17.0","122405.555",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.075","0.0","false","18.0","122268.41",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.077","0.002","false","19.0","121922.22",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.079","0.004","false","20.0","121803.0",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.083","0.008","false","21.0","121903.82",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.08","0.004","false","22.0","121858.87",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.078","0.002","false","23.0","121883.78",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.076","0.0","false","24.0","121921.96",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.072","-0.004","false","25.0","121568.66",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.073","-0.004","false","26.0","121349.71",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.079","0.003","false","27.0","121062.336",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.084","0.007","false","28.0","121035.52",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.082","0.005","false","29.0","121281.0",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.081","0.003","false","30.0","121311.586",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.08","0.002","false","31.0","121363.73",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.078","0.0","false","32.0","121335.695",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.078","0.0","false","33.0","121266.07",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.083","0.005","false","34.0","120947.08",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.079","0.0","false","35.0","120934.555",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.074","-0.005","false","36.0","121217.49",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.069","-0.01","false","37.0","121284.18",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.071","-0.008","false","38.0","121217.04",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.083","0.003","false","39.0","120950.69",
"Plate 1 noQuench.eds","","A4","Unknown","AA_0695","1.087","0.007","false","40.0","120876.13",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.951","-0.021","false","1.0","116009.29",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.96","-0.012","false","2.0","116149.516",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.961","-0.011","false","3.0","116983.734",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.963","-0.009","false","4.0","117417.336",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.966","-0.007","false","5.0","117778.305",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.972","-0.001","false","6.0","117811.836",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.973","0.0","false","7.0","118029.086",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.976","0.003","false","8.0","118008.92",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.979","0.006","false","9.0","117921.91",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.98","0.006","false","10.0","118062.82",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.98","0.006","false","11.0","118031.11",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.978","0.004","false","12.0","118014.625",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.975","0.001","false","13.0","117982.945",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.971","-0.002","false","14.0","118218.97",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.975","0.002","false","15.0","118013.69",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.977","0.003","false","16.0","117939.875",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.977","0.002","false","17.0","118288.02",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.977","0.003","false","18.0","118101.25",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.978","0.004","false","19.0","117940.8",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.977","0.003","false","20.0","118033.74",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.974","-0.001","false","21.0","118083.31",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.973","-0.002","false","22.0","117999.375",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.975","0.0","false","23.0","117954.83",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.977","0.002","false","24.0","117925.055",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.974","-0.001","false","25.0","117930.234",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.973","-0.002","false","26.0","117868.4",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.975","-0.001","false","27.0","118015.47",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.974","-0.001","false","28.0","118005.85",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.974","-0.002","false","29.0","117976.04",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.974","-0.002","false","30.0","117936.15",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.979","0.003","false","31.0","117825.48",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.983","0.007","false","32.0","117837.34",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.977","0.001","false","33.0","117816.0",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.972","-0.004","false","34.0","117687.28",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.971","-0.006","false","35.0","117603.516",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.975","-0.002","false","36.0","117593.5",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.976","0.0","false","37.0","117675.22",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.976","-0.001","false","38.0","117573.01",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.975","-0.002","false","39.0","117451.6",
"Plate 1 noQuench.eds","","A5","Unknown","AA_0695","0.974","-0.003","false","40.0","117352.43",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.879","-0.009","false","1.0","112529.16",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.881","-0.008","false","2.0","112869.18",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.883","-0.005","false","3.0","113085.34",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.893","0.004","false","4.0","113496.06",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.893","0.004","false","5.0","113893.95",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.894","0.004","false","6.0","113743.484",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.893","0.003","false","7.0","113717.04",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.89","-0.001","false","8.0","114273.516",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.884","-0.007","false","9.0","114630.414",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.883","-0.008","false","10.0","114737.38",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.892","0.001","false","11.0","114596.97",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.895","0.004","false","12.0","114490.95",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.893","0.001","false","13.0","114604.65",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.891","-0.001","false","14.0","114599.49",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.89","-0.002","false","15.0","114600.33",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.893","0.0","false","16.0","114492.33",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.894","0.0","false","17.0","114390.11",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.897","0.004","false","18.0","114194.484",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.898","0.004","false","19.0","114135.7",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.895","0.001","false","20.0","114542.27",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.894","-0.001","false","21.0","114751.63",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.895","0.0","false","22.0","114714.03",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.894","-0.001","false","23.0","114890.79",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.894","-0.001","false","24.0","114743.945",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.891","-0.005","false","25.0","114582.63",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.89","-0.007","false","26.0","114604.87",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.895","-0.002","false","27.0","114561.72",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.896","0.0","false","28.0","114511.086",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.894","-0.003","false","29.0","114643.44",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.897","0.0","false","30.0","114667.37",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.907","0.009","false","31.0","114407.73",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.908","0.01","false","32.0","114275.71",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.905","0.006","false","33.0","114423.48",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.897","-0.002","false","34.0","114431.8",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.892","-0.007","false","35.0","114689.4",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.897","-0.003","false","36.0","114534.26",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.897","-0.002","false","37.0","114396.48",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.899","-0.001","false","38.0","114501.1",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.905","0.004","false","39.0","114483.51",
"Plate 1 noQuench.eds","","A6","Unknown","AA_0695","0.908","0.007","false","40.0","114743.33",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.252","-0.003","false","1.0","168126.25",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.251","-0.004","false","2.0","168245.02",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.251","-0.005","false","3.0","168445.27",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.252","-0.004","false","4.0","168853.73",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.253","-0.002","false","5.0","168844.39",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.258","0.003","false","6.0","168686.34",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.259","0.003","false","7.0","168646.45",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.259","0.003","false","8.0","168801.36",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.258","0.002","false","9.0","169101.53",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.257","0.002","false","10.0","168925.22",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.254","-0.001","false","11.0","168502.28",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.254","-0.002","false","12.0","168341.19",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.255","-0.001","false","13.0","168466.6",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.255","-0.001","false","14.0","168318.84",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.255","0.0","false","15.0","167976.38",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.255","-0.001","false","16.0","167861.84",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.253","-0.003","false","17.0","167984.34",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.254","-0.002","false","18.0","167630.02",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.259","0.003","false","19.0","167492.64",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.259","0.003","false","20.0","167652.42",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.257","0.001","false","21.0","167580.47",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.256","0.0","false","22.0","167432.05",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.254","-0.001","false","23.0","167282.42",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.254","-0.002","false","24.0","167091.28",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.255","-0.001","false","25.0","167009.66",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.257","0.001","false","26.0","167014.05",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.261","0.006","false","27.0","166672.1",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.259","0.003","false","28.0","166578.48",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.258","0.002","false","29.0","166642.73",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.256","0.0","false","30.0","166341.08",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.256","0.0","false","31.0","166336.64",
"Plate 1 noQuench.eds","","A7","Unknown","AA_0853","0.257","0.001","false","32.0","166655.42",
